,Date,Time,Vis,VisScore,Home,Home_Score,Box Score,OT,Attendence,Venue,Notes
0,"Tue, Dec 22, 2020",7:00p,Golden State Warriors,99,Brooklyn Nets,125,Box Score,,0,Barclays Center,
1,"Tue, Dec 22, 2020",10:00p,Los Angeles Clippers,116,Los Angeles Lakers,109,Box Score,,0,STAPLES Center,
2,"Wed, Dec 23, 2020",7:00p,Charlotte Hornets,114,Cleveland Cavaliers,121,Box Score,,300,Rocket Mortgage Fieldhouse,
3,"Wed, Dec 23, 2020",7:00p,New York Knicks,107,Indiana Pacers,121,Box Score,,0,Bankers Life Fieldhouse,
4,"Wed, Dec 23, 2020",7:00p,Miami Heat,107,Orlando Magic,113,Box Score,,"3,396",Amway Center,
5,"Wed, Dec 23, 2020",7:00p,Washington Wizards,107,Philadelphia 76ers,113,Box Score,,0,Wells Fargo Center,
6,"Wed, Dec 23, 2020",7:30p,New Orleans Pelicans,113,Toronto Raptors,99,Box Score,,"3,800",Amalie Arena,
7,"Wed, Dec 23, 2020",7:30p,Milwaukee Bucks,121,Boston Celtics,122,Box Score,,0,TD Garden,
8,"Wed, Dec 23, 2020",8:00p,Atlanta Hawks,124,Chicago Bulls,104,Box Score,,0,United Center,
9,"Wed, Dec 23, 2020",8:00p,San Antonio Spurs,131,Memphis Grizzlies,119,Box Score,,0,FedEx Forum,
10,"Wed, Dec 23, 2020",8:00p,Detroit Pistons,101,Minnesota Timberwolves,111,Box Score,,0,Target Center,
11,"Wed, Dec 23, 2020",9:00p,Sacramento Kings,124,Denver Nuggets,122,Box Score,OT,0,Ball Arena,
12,"Wed, Dec 23, 2020",10:00p,Utah Jazz,120,Portland Trail Blazers,100,Box Score,,0,Moda Center,
13,"Wed, Dec 23, 2020",10:30p,Dallas Mavericks,102,Phoenix Suns,106,Box Score,,0,Phoenix Suns Arena,
14,"Fri, Dec 25, 2020",12:00p,New Orleans Pelicans,98,Miami Heat,111,Box Score,,0,AmericanAirlines Arena,
15,"Fri, Dec 25, 2020",2:30p,Golden State Warriors,99,Milwaukee Bucks,138,Box Score,,0,Fiserv Forum,
16,"Fri, Dec 25, 2020",5:00p,Brooklyn Nets,123,Boston Celtics,95,Box Score,,0,TD Garden,
17,"Fri, Dec 25, 2020",8:00p,Dallas Mavericks,115,Los Angeles Lakers,138,Box Score,,0,STAPLES Center,
18,"Fri, Dec 25, 2020",10:30p,Los Angeles Clippers,121,Denver Nuggets,108,Box Score,,0,Ball Arena,
19,"Sat, Dec 26, 2020",5:00p,Atlanta Hawks,122,Memphis Grizzlies,112,Box Score,,0,FedEx Forum,
20,"Sat, Dec 26, 2020",7:00p,Oklahoma City Thunder,109,Charlotte Hornets,107,Box Score,,0,Spectrum Center,
21,"Sat, Dec 26, 2020",7:00p,Cleveland Cavaliers,128,Detroit Pistons,119,Box Score,2OT,0,Little Caesars Arena,
22,"Sat, Dec 26, 2020",7:00p,Orlando Magic,130,Washington Wizards,120,Box Score,,0,Capital One Arena,
23,"Sat, Dec 26, 2020",7:30p,Philadelphia 76ers,109,New York Knicks,89,Box Score,,0,Madison Square Garden (IV),
24,"Sat, Dec 26, 2020",8:00p,Indiana Pacers,125,Chicago Bulls,106,Box Score,,0,United Center,
25,"Sat, Dec 26, 2020",8:30p,Toronto Raptors,114,San Antonio Spurs,119,Box Score,,0,AT&T Center,
26,"Sat, Dec 26, 2020",9:00p,Minnesota Timberwolves,116,Utah Jazz,111,Box Score,,"1,932",Vivint Smart Home Arena,
27,"Sat, Dec 26, 2020",10:00p,Houston Rockets,126,Portland Trail Blazers,128,Box Score,OT,0,Moda Center,
28,"Sat, Dec 26, 2020",10:00p,Phoenix Suns,103,Sacramento Kings,106,Box Score,,0,Golden 1 Center,
29,"Sun, Dec 27, 2020",3:30p,Dallas Mavericks,124,Los Angeles Clippers,73,Box Score,,0,STAPLES Center,
30,"Sun, Dec 27, 2020",7:00p,San Antonio Spurs,95,New Orleans Pelicans,98,Box Score,,750,Smoothie King Center,
31,"Sun, Dec 27, 2020",7:00p,Orlando Magic,120,Washington Wizards,113,Box Score,,0,Capital One Arena,
32,"Sun, Dec 27, 2020",7:00p,Brooklyn Nets,104,Charlotte Hornets,106,Box Score,,0,Spectrum Center,
33,"Sun, Dec 27, 2020",7:30p,Philadelphia 76ers,94,Cleveland Cavaliers,118,Box Score,,300,Rocket Mortgage Fieldhouse,
34,"Sun, Dec 27, 2020",7:30p,Milwaukee Bucks,110,New York Knicks,130,Box Score,,0,Madison Square Garden (IV),
35,"Sun, Dec 27, 2020",8:00p,Boston Celtics,107,Indiana Pacers,108,Box Score,,0,Bankers Life Fieldhouse,
36,"Sun, Dec 27, 2020",8:00p,Golden State Warriors,129,Chicago Bulls,128,Box Score,,0,United Center,
37,"Sun, Dec 27, 2020",9:00p,Phoenix Suns,116,Sacramento Kings,100,Box Score,,0,Golden 1 Center,
38,"Sun, Dec 27, 2020",10:00p,Minnesota Timberwolves,91,Los Angeles Lakers,127,Box Score,,0,STAPLES Center,
39,"Mon, Dec 28, 2020",7:30p,Memphis Grizzlies,116,Brooklyn Nets,111,Box Score,OT,0,Barclays Center,
40,"Mon, Dec 28, 2020",7:30p,Detroit Pistons,120,Atlanta Hawks,128,Box Score,,0,State Farm Arena,
41,"Mon, Dec 28, 2020",8:00p,Utah Jazz,110,Oklahoma City Thunder,109,Box Score,,0,Chesapeake Energy Arena,
42,"Mon, Dec 28, 2020",9:00p,Houston Rockets,111,Denver Nuggets,124,Box Score,,0,Ball Arena,
43,"Mon, Dec 28, 2020",10:00p,Portland Trail Blazers,115,Los Angeles Lakers,107,Box Score,,0,STAPLES Center,
44,"Tue, Dec 29, 2020",7:00p,New York Knicks,95,Cleveland Cavaliers,86,Box Score,,300,Rocket Mortgage Fieldhouse,
45,"Tue, Dec 29, 2020",7:00p,Golden State Warriors,116,Detroit Pistons,106,Box Score,,0,Little Caesars Arena,
46,"Tue, Dec 29, 2020",7:00p,Boston Celtics,116,Indiana Pacers,111,Box Score,,0,Bankers Life Fieldhouse,
47,"Tue, Dec 29, 2020",7:00p,Chicago Bulls,115,Washington Wizards,107,Box Score,,0,Capital One Arena,
48,"Tue, Dec 29, 2020",7:00p,Toronto Raptors,93,Philadelphia 76ers,100,Box Score,,0,Wells Fargo Center,
49,"Tue, Dec 29, 2020",7:30p,Milwaukee Bucks,144,Miami Heat,97,Box Score,,0,AmericanAirlines Arena,
50,"Tue, Dec 29, 2020",8:00p,Orlando Magic,118,Oklahoma City Thunder,107,Box Score,,0,Chesapeake Energy Arena,
51,"Tue, Dec 29, 2020",10:00p,New Orleans Pelicans,86,Phoenix Suns,111,Box Score,,0,Phoenix Suns Arena,
52,"Tue, Dec 29, 2020",10:00p,Denver Nuggets,115,Sacramento Kings,125,Box Score,,0,Golden 1 Center,
